,uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country,avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length,target
1077,650350113,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650350113.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1078,651431464,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,651431464.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1079,647990835,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,22.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,647990835.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1080,647695931,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,2.0,67.0,0.0,0.0,0.0,0.0,0.6666666666666666,477775579.6666667,1.5,1.5,0.6666666666666666,0.7777777777777778,0.3333333333333333,2,1,0
1081,650022467,1,1,1.0,4.0,0,1,1,1,1,1,1,1,1,1,1,1.0,0.0,4.0,56.0,5.0,5.0,0.0,7.0,60.0,0.0,1.0,1.0,0.4798701298701299,0.1383679675620882,0.0858395989974937,617807149.245614,20.45531806156806,20.45531806156806,0.0858395989974937,0.5266448192941675,0.0166210982000455,2,1,0
1082,650579524,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,650579524.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1083,647728710,0,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,647728710.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1084,644714062,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,10.0,260.0,8.0,1.0,2.0,10.0,22.0,1053814.0,1.0,0.8477777777777777,0.5526315789473685,0.4222222222222222,381421522.0,5.019444444444445,5.019444444444445,0.4222222222222222,0.6528571428571429,0.0722222222222222,2,1,0
1085,652217935,1,1,1.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0.0,41.0,11.0,0.0,31.0,11.0,0.0,0.0,11.0,33.0,0.0,1.0,0.4333333333333334,0.375,0.5,642968839.8,2.833333333333333,2.833333333333333,0.5,0.6952380952380952,0.1666666666666666,2,1,0
1086,652119631,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,73.0,100.0,1.0,0.0,0.0,1.0,652119631.0,0.0,0.0,1.0,0.0,0.0,0,0,0
